year,employer_has_discussed_mh_formally,employer_has_mh_resources_and_options,anonymity_guaranteed,difficulty_asking_for_mh_related_medical_leave,comfortable_discussing_mh_with_coworkers,comfortable_discussing_mh_with_supervisors,has_medical_coverage_mhd_included,knows_local_or_online_mhd_resources,revealed_mhd_to_clients_or_business_contacts,negative_impact_of_revealing_mhd_to_clients_contacts,productivity_affected_by_mh,percentage_of_work_time_affected_by_mh,prev_employer_provided_mh_coverage,knew_prev_employer_mh_coverage_options,prev_employer_discussed_mh_formally,prev_employer_had_mh_resources_and_options,prev_employer_anonymity_guaranteed,comfortable_discussing_mh_with_prev_coworkers,comfortable_discussing_mh_with_prev_supervisors,willing_to_bring_up_ph_in_interview_y_n,willing_to_bring_up_ph_in_interview_y_n_reason,willing_to_bring_up_mh_in_interview_y_n,willing_to_bring_up_mh_in_interview_y_n_reason,observed_or_experienced_unsupportiveness_or_bad_response,observations_of_response_to_mhd_of_others_made_less_likely_to_reveal
2018,Yes,Yes,Yes,Somewhat difficult,No,No,NA,NA,NA,NA,NA,NA,"No, none did","No, I only became aware later",None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,I don’t see it as relevant,No,Not relevant,"Yes, I observed",Yes
2018,No,I don't know,I don't know,Somewhat difficult,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,because why not,No,because i am at least 51% sure it would affect my chances of getting the job,No,N/A
2018,No,No,I don't know,Somewhat easy,No,No,NA,NA,NA,NA,NA,NA,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,I wouldn't bring it up unless it would potentially impact my ability to do the work or if I required special accommodations.,No,Mainly because I don't suffer from a mental health issue. I don't think I would bring it up if I did because I would believe it would be viewed negatively relative to their willingness to hire me.,No,N/A
2018,No,No,I don't know,Neither easy nor difficult,Maybe,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (was not aware),None did,None did,I don't know,At some of my previous employers,"No, none of my previous supervisors",No,NA,No,NA,No,Maybe
2018,Yes,Yes,Yes,Somewhat easy,Yes,Yes,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,No,At some of my previous employers,Some of my previous supervisors,Yes,NA,Yes,"They should know what I need and expect.  If they can't meet it, it's not a good fit.","Yes, I observed",No
2018,No,I don't know,I don't know,Somewhat easy,Yes,Yes,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,I don't know,Some did,"Yes, always",At some of my previous employers,Some of my previous supervisors,Yes,I like to be open and honest.,Yes,"Again, I like to be open and honest.",No,No
2018,No,No,I don't know,I don't know,Maybe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe,NA,No,NA,No,N/A
2018,No,No,I don't know,I don't know,Maybe,No,NA,NA,NA,NA,NA,NA,I don't know,N/A (none offered),I don't know,None did,I don't know,"Yes, at all of my previous employers",I don't know,Maybe,NA,No,I would be too afraid,No,No
2018,No,No,No,I don't know,No,No,NA,NA,NA,NA,NA,NA,Some did,"No, I only became aware later",None did,None did,No,At some of my previous employers,Some of my previous supervisors,Maybe,I mentioned my seasonal allergies during the interview. I declined to answer when asked about why I was in the cancer department. Simply said the results were negative (they actually were but things appearing under your skin are *frightening*),No,"In the collective mind ""mental health issue""=""crazy freak who is just about to jump on me and rip my throat open with his teeth""",Maybe/Not sure,Yes
2018,No,Yes,I don't know,Somewhat difficult,No,No,NA,NA,NA,NA,NA,NA,Some did,N/A (was not aware),None did,Some did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,Excluded,No,Excluded,"Yes, I observed",Yes
2018,Yes,Yes,I don't know,Somewhat easy,Maybe,Maybe,NA,NA,NA,NA,NA,NA,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,I have worked at the top of my field for two decades with my hidden physical disability. They don’t need to know.,No,Judgement,No,N/A
2018,No,No,I don't know,Very easy,No,Maybe,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,I don't know,At some of my previous employers,"No, none of my previous supervisors",Yes,"It is normal/ordinary to talk about physical health issues, so, no problem here.",No,"Mental health issues are some kind of stigma, discussing it can close doors. I wanna fight for that, but currently I would not bring this to the table during a interview.",No,N/A
2018,NA,NA,NA,NA,NA,NA,1,I know some,Not applicable to me,N/A,No,NA,Some did,I was aware of some,None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Yes,I have currently & in the past been comfortable working around a chronic illness. I want to know that the flexibility I need is available.,No,I do not have a mental health issue.,Maybe/Not sure,N/A
2018,No,I don't know,I don't know,Somewhat easy,Yes,Maybe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Physical health issues have no real effect on the work as a software developer, so I would not be scared that it'd affect their judgement.",No,"I'd be scared to be treated differently. Either that they'd think I am not able to deal with the work, or that they'd prefer me over other more suitable candidates.",Maybe/Not sure,Maybe
2018,No,No,I don't know,Neither easy nor difficult,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,It seems normal and i don't think there would be some consequences,No,I don't think people generally understand mental disorders and a bit of shame,No,No
2018,No,No,I don't know,Somewhat difficult,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,N/A (was not aware),None did,None did,I don't know,At some of my previous employers,"No, none of my previous supervisors",Maybe,If it's not relevant to my work I would not bring it up.,No,I'd be concerned about not getting the job.,"Yes, I experienced",No
2018,No,Yes,I don't know,Neither easy nor difficult,No,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,Only if I needed some accommodation or if it would hamper me from achieving performance expectations.,No,Only if I needed some accommodation or if it would hamper me from achieving performance expectations.,Maybe/Not sure,Yes
2018,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe,NA,NA,NA,NA,NA,NA,"No, none did","No, I only became aware later",None did,None did,I don't know,At some of my previous employers,"No, none of my previous supervisors",Yes,Physical health issues are commonly discussed openly and not stigmatized.,No,"Because I don't see how disclosing it could possibly help my likelihood of being hired, but so long as I'm being treated properly for it, it shouldn't affect my work.",Maybe/Not sure,No
2018,No,No,No,Difficult,No,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,No,"No, at none of my previous employers","No, none of my previous supervisors",No,Becouse I think the employer is going discard me,No,Becouse I'll be reject,No,No
2018,NA,NA,NA,NA,NA,NA,1,I know some,"Sometimes, if it comes up",No,Yes,51-75%,"No, none did",N/A (none offered),None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Yes,NA,Maybe,NA,Maybe/Not sure,Maybe
2018,No,I don't know,I don't know,Somewhat easy,Yes,No,NA,NA,NA,NA,NA,NA,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",At some of my previous employers,Some of my previous supervisors,Yes,NA,Maybe,It would depend on my level of trust with the organization and how progressive they are in caring for their staff.,No,Yes
2018,I don't know,Yes,Yes,Somewhat easy,Maybe,Yes,NA,NA,NA,NA,NA,NA,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",At some of my previous employers,Some of my previous supervisors,No,"It typically feels that although it is illegal to do so, bringing up such situations in an interview would lead to not being hired",No,"It typically feels that although it is illegal to do so, bringing up such situations in an interview would lead to not being hired",No,No
2018,NA,NA,NA,NA,NA,NA,1,I know some,"Sometimes, if it comes up",No,Yes,26-50%,I don't know,N/A (was not aware),Some did,None did,"Yes, always",At some of my previous employers,"Yes, all of my previous supervisors",Yes,NA,Yes,NA,Maybe/Not sure,Maybe
2018,No,No,I don't know,Very easy,No,No,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,Some did,Some did,"Yes, always","No, at none of my previous employers","No, none of my previous supervisors",Yes,"If it impacted job performance and was relevant to the position I was applying for, I would want to discuss it prior to being hired.",No,"I don't have a diagnosed mental health disorder, and frankly, I feel like it would have a negative impact on my likelihood of being hired. There are a lot of legal protections in place if you are categorized as physically or mentally disabled, but  not much to cover un-diagnosed or less severe mental health issues.","Yes, I observed",No
2018,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,At some of my previous employers,I don't know,Maybe,"Depending on the issue, I might not bring it up if it wasn't obvious and I was concerned that it would affect their decision to hire me.",No,I'd be worried it would affect their hiring decision.,No,N/A
2018,Yes,No,I don't know,Very easy,Maybe,Maybe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Maybe/Not sure,No
2018,No,No,I don't know,Difficult,Maybe,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,This may leads to lose that job here in my country abundant employees available so I will be easily replaced by someone.,No,Same as explained for physical health issue.,No,N/A
2018,No,No,Yes,Somewhat easy,Maybe,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),Some did,None did,Sometimes,At some of my previous employers,Some of my previous supervisors,No,NA,No,NA,Maybe/Not sure,Yes
2018,NA,NA,NA,NA,NA,NA,1,I know some,"No, because it would impact me negatively",No,No,NA,"No, none did","No, I only became aware later",None did,None did,No,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,I feel I would receive accommodation and understanding,No,"I feel I would not receive accommodations and acceptance or even get the job at all, because of the coldness of corporate America.",Maybe/Not sure,N/A
2018,No,I don't know,I don't know,Difficult,No,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Yes,Stigma still exists I am afraid. Physical health is accepted but mental health issues are not. I also believe mental health issues are a higher risk to a company ; can't walk you can accommodate predictably but with mental health this is rarely ever the case; at least with me.,No,Why would they hire someone already showing they will be challenging to manage and work with. Why should they have to....,Maybe/Not sure,N/A
2018,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,At some of my previous employers,"No, none of my previous supervisors",Yes,Having a physical issue will mostly be noticeable. There’s no way to hide it.,No,I feel like this could be a detriment when being compared to another candidate. Disclosing a mental issue may mark me as being needy or high maintenance.,Maybe/Not sure,N/A
2018,No,No,I don't know,I don't know,Maybe,Maybe,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Yes,It's affecting my productivity at work,Yes,It'd affect my performance at work.,No,No
2018,Yes,Yes,Yes,Very easy,Yes,Maybe,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,I don't know,At some of my previous employers,"No, none of my previous supervisors",Maybe,NA,No,NA,"Yes, I observed",N/A
2018,No,I don't know,I don't know,I don't know,No,No,NA,NA,NA,NA,NA,NA,"No, none did",I was aware of some,Some did,Some did,"Yes, always","No, at none of my previous employers",Some of my previous supervisors,No,NA,No,NA,No,N/A
2018,No,No,No,Difficult,No,No,NA,NA,NA,NA,NA,NA,Some did,"Yes, I was aware of all of them",Some did,Some did,Sometimes,At some of my previous employers,"No, none of my previous supervisors",Maybe,NA,No,It would be the kiss of death,"Yes, I observed",Yes
2018,No,I don't know,I don't know,I don't know,Yes,No,NA,NA,NA,NA,NA,NA,I don't know,I was aware of some,None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,No,Subconscious discrimination,No,Same,No,No
2018,NA,NA,NA,NA,NA,NA,1,I know some,"No, because it doesn't matter",N/A,Yes,26-50%,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,"Yes, always",At some of my previous employers,Some of my previous supervisors,Maybe,NA,No,NA,"Yes, I experienced",No
2018,Yes,Yes,Yes,Somewhat easy,Maybe,Yes,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,No,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,"Hard to know how the potential employer would view you, may effect their decision",No,"I believe it is still stigmatised, even if it is subconciuosly",No,No
2018,Yes,Yes,I don't know,Neither easy nor difficult,No,Yes,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,NA,No,NA,No,No
2018,NA,NA,NA,NA,NA,NA,1,I know some,"No, because it would impact me negatively",N/A,Yes,26-50%,NA,NA,NA,NA,NA,NA,NA,Maybe,it depends on whether the question would come up and how I feel about the person asking,No,"it would not work for getting the job, unless I was told they have some kind of policy for that",I've always been self-employed,Maybe
2018,No,No,I don't know,I don't know,No,No,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Yes,The employer will make allowances. Physical health doesn't impact productivity much,No,"Mental health very much impacts productivity. If an employer thinks you won't be as productive, they'll just fire you.",Maybe/Not sure,No
2018,No,No,I don't know,Very easy,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,Too much social stigma and misconceptions related to mental health in general.,Maybe/Not sure,Maybe
2018,NA,NA,NA,NA,NA,NA,0,"No, I don't know any",Not applicable to me,N/A,Yes,51-75%,"No, none did",N/A (none offered),None did,None did,I don't know,"Yes, at all of my previous employers","Yes, all of my previous supervisors",Maybe,NA,Yes,"If I now leave my current job, I could be able to not afford applying to any interview. My body (my brain) asks me to stop. To take a sabbatical time. Get away from the industry for a while to invest to myself. From all this year I've been without interest for continuous improvement. I'm burn out",No,Maybe
2018,NA,NA,NA,NA,NA,NA,1,"No, I don't know any",Not applicable to me,N/A,Yes,51-75%,"No, none did",N/A (none offered),None did,None did,No,"Yes, at all of my previous employers","Yes, all of my previous supervisors",No,NA,No,NA,I've always been self-employed,No
2018,No,No,Yes,Somewhat difficult,Maybe,No,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Yes,Its obvious,No,Makes me seem less reliable,No,No
2018,Yes,Yes,I don't know,Very easy,Yes,Yes,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,No,Physical health is not relevant to the interview.,No,Mental health is not relevant to the interview.,No,No
2018,NA,NA,NA,NA,NA,NA,1,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,NA,I don't know,N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,NA,Maybe,NA,No,Yes
2018,No,No,I don't know,Difficult,No,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (was not aware),None did,None did,"Yes, always","No, at none of my previous employers",I don't know,Maybe,NA,No,NA,No,N/A
2018,Yes,Yes,I don't know,Very easy,Yes,Maybe,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,I would be more interested in his skills than physical health.,No,I am comfortable with that.,No,No
2018,No,No,I don't know,Difficult,Maybe,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,I don't know,At some of my previous employers,"No, none of my previous supervisors",No,NA,No,NA,No,N/A
2018,No,No,I don't know,Somewhat easy,Yes,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,No.,No,No.,"Yes, I observed",N/A
2018,I don't know,Yes,I don't know,I don't know,Yes,Yes,NA,NA,NA,NA,NA,NA,Some did,"Yes, I was aware of all of them",Some did,"Yes, they all did",Sometimes,At some of my previous employers,Some of my previous supervisors,Maybe,I would bring up the issue only if it would materially affect my performance on the job,Maybe,"I would bring it up only if it related to the job.  I have had instances where serving people with mental illness was part of the job, and having personal experience was seen as a positive.",No,No
2018,Yes,Yes,Yes,Very easy,Yes,Yes,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),Some did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,No,it doesn't impede on my job function,No,it may affect my productivity,No,No
